Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Department,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,JEA 800,Thraupis,cyanocephalus,,,Passeriformes,U,,Fri Jul 31 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,F10",3,,imm,0,0,0,,0,
GAM,JEA 801,Diglossa,albilatera,,,Passeriformes,U,,Sat Aug 01 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,F9",2,,ju-ad,0,0,0,,0,
GAM,JEA 807,Atlapetes,schistaceus,,,Passeriformes,U,,Sun Aug 02 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F3",0,,0,5,0,0,,0,
GAM,JEA 810,Heliangelus,amethysticollis,,,Apodiformes,U,,Sun Aug 02 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,E9",0,,0,5,0,0,,0,
GAM,JEA 811,Scytalopus,griseicollis,,,Passeriformes,U,,Sun Aug 02 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,NO,,,,,,,,,,,,
GAM,JEA 814,Diglossa,albilatera,,,Passeriformes,U,,Mon Aug 03 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,D7",0,,0,3,0,0,,0,
GAM,JEA 818,Troglodytes,aedon,,,Passeriformes,U,,Mon Aug 03 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,E3",8,,ba-ju-ad,0,0,0,,0,
GAM,JEA 823,Coeligena,helianthea,,,Apodiformes,U,,Tue Aug 04 00:00:00 PDT 2009,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F2",0,,0,2,0,0,,HFM,
GAM,JMBO 050,Diglossa,caerulescens,,,Passeriformes,U,,Mon Aug 10 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,A10;E1,A8",19,,ba-ju-ad,>30,0,0,,0,
GAM,JEA 832,Diglossa,caerulescens,,,Passeriformes,U,,Tue Aug 11 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E1",0,,0,>5,0,0,,0,
GAM,JEA 833,Diglossa,caerulescens,,,Passeriformes,U,,Tue Aug 11 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E6",0,,0,>10,0,0,,0,
GAM,JEA 834,Boissonneaua,flavescens,,,Apodiformes,U,,Tue Aug 11 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,C10",0,,0,Many,0,0,,0,
GAM,JPL 403,Diglossa,caerulescens,,,Passeriformes,U,,Tue Aug 11 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,F3",4,,ba-ju,0,0,0,,0,
GAM,JEA 835,Chlorospingus,semifuscus,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B1",33,,ba-ju-ad,0,0,0,,0,
GAM,JEA 836,Chlorospingus,semifuscus,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B2",8,,ba-ju-ad,0,0,0,,0,
GAM,JEA 837,Margarornis,stellatus,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,D8",0,,0,>5,1,0,1,,
GAM,JEA 838,Chlorospingus,semifuscus,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,F6",5,,imm,0,0,0,,0,
GAM,JEA 840,Anisognathus,somptuosus,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,G4",9,,ba-ju,3,0,0,,0,
GAM,JEA 842,Pipreola,riefferii,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,D2",3,,ju,0,0,0,,0,
GAM,JEA 843,Chlorornis,riefferii,,,Passeriformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,E10",2,,ba-ju,2,0,0,,0,
GAM,JMBO 054,Coeligena,wilsoni,,,Apodiformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,F2",0,,0,5,0,0,,10 HFM,
GAM,JPL 406,Coeligena,torquata,,,Apodiformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E4",0,,0,5,0,0,,4 HFM,
GAM,JPL 407,Coeligena,torquata,,,Apodiformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,C5",0,,0,Many,0,0,,0,
GAM,JMBO 056,Trogon,personatus,,,Trogoniformes,U,,Wed Aug 12 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,NO,,,,,,,,,,,,
GAM,JEA 845,Colaptes,rubiginosus,,,Piciformes,U,,Thu Aug 13 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B5",24,,ba-ju-ad,0,0,0,,0,
GAM,JEA 846,Scytalopus,vicinior,,,Passeriformes,U,,Thu Aug 13 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,D5",0,,0,0,2,0,,0,
GAM,JEA 847,Chlorospingus,semifuscus,,,Passeriformes,U,,Thu Aug 13 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B10",3,,ju-ad,0,0,0,,0,
GAM,JEA 854,Atlapetes,gutturalis,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,C8",0,,0,Many,0,0,,0,
GAM,JEA 855,Euphonia,xanthogaster,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E1",2,,imm,1,0,0,,0,
GAM,JEA 856,Tangara,rufigula,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C9",10,,ju-ad,0,0,0,,0,
GAM,JEA 857,Mionectes,striaticollis,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F7",4,,ba-ju,0,0,0,,0,
GAM,JMBO 059,Chlorochrysa,phoenicotis,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,C2",0,,0,0,1,0,,0,
GAM,JEA 859,Masius,chrysopterus,,,Passeriformes,U,,Sat Aug 15 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,NO,,,,,,,,,,,,
GAM,GCC 001,Ramphocelus,flammigerus,,,Passeriformes,U,,Sun Aug 16 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E7",10,,ju-ad,0,0,0,,0,
GAM,JMBO 065,Myadestes,ralloides,,,Passeriformes,U,,Sun Aug 16 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F8;E1,D9",13,,ju-ad,Many,0,0,,0,
GAM,JEA 864,Tangara,rufigula,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C4",6,,ju-ad,0,0,0,,0,
GAM,JEA 865,Tangara,gyrola,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F2",2,,ad,0,0,0,,0,
GAM,JEA 866,Mionectes,striaticollis,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C5",5,,ju-ad,0,0,0,,0,
GAM,JEA 867,Syndactyla,subalaris,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,D1",8,,ju-ad,0,0,0,,0,
GAM,JEA 868,Myiobius,villosus,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,B8",0,,0,3,0,0,,0,
GAM,JEA 869,Pseudotriccus,pelzelni,,,Passeriformes,U,,Mon Aug 17 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B8",,,,,,,,,
GAM,JEA 870,Eubucco,bourcierii,,,Piciformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C3",12,,ba-ju-ad,0,0,0,,0,
GAM,JEA 872,Premnoplex,brunnescens,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B9;E1,B3",7,,ju-ad,0,>10,0,1,,
GAM,JEA 873,Anabacerthia,variegaticeps,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,G2;E1,E7",1,,ad,>5,0,0,,0,
GAM,JEA 874,Chlorochrysa,phoenicotis,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E2;E1,C3",1,,imm,0,0,0,1,,
GAM,JEA 875,Arremon,brunneinucha,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B3; E1,A9",25,,ba-ju-ad,>5,0,0,1,,
GAM,JEA 876,Entomodestes,coracinus,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E9",3,,ju-ad,0,0,0,,0,
GAM,JEA 877,Tangara,icterocephala,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B7;E1,B1",16,,ba-ju-ad (2 morphos),few,0,0,1,,
GAM,JEA 878,Tangara,icterocephala,,,Passeriformes,U,,Tue Aug 18 00:00:00 PDT 2009,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B6;E1,A10",18,,ba-ju-ad,>5,0,0,,0,
GAM,JEA 880,Phaethornis,yaruqui,,,Apodiformes,U,,Mon Aug 24 00:00:00 PDT 2009,Colombia,Narino,Barbacoas,"Barbacoas, Reserva El Pangan, sendero Sabaleta",Junin,"Reserva el Pangan, sendero Sabaleta",1°21'19.65'',078°04'37.51'',771,YES,,Universidad Icesi,"E1,A2",0,,0,>5,0,0,,0,
